"Caller,Called,StartTime,Duration,ServiceType,Status"
"01126165494,01011112222,2026-04-18T10:00:00,20000,VOICE,NEW"
"01050331262,01133334444,2026-04-18T10:03:20,120,SMS,NEW"
"01009122050,Internet,2026-04-18T10:05:45,15000,DATA,NEW"
"0101282703451,01077778888,2026-04-18T10:08:10,15000,VOICE,NEW"
"01126165494,01022224444,2026-04-18T10:12:00,8000,VOICE,NEW"
"01050331262,01155556666,2026-04-18T10:15:30,200,SMS,NEW"
"01009122050,Internet,2026-04-18T10:18:45,30000,DATA,NEW"
"0101282703451,01099991111,2026-04-18T10:22:10,150,SMS,NEW"
"01126165494,Internet,2026-04-18T10:25:00,20000,DATA,NEW"
"01050331262,01088887777,2026-04-18T10:28:30,10000,VOICE,NEW"
"01009122050,01122223333,2026-04-18T10:31:45,80,SMS,NEW"
"0101282703451,Internet,2026-04-18T10:35:10,50000,DATA,NEW"
